id,popularity,revenue,keywords
299582,0.397644,0,royalty
298865,0.39199,0,high school
228358,0.444439,0,serial killer
252680,0.386307,10429707,wife husband relationship
251519,0.382465,0,dc comics
238603,0.382434,45300000,alien
270938,0.380414,0,yakuza
275318,0.379113,0,fairy
249260,0.389417,0,bikini
215379,0.510296,0,rain
293633,0.366176,0,kidnapping
297961,0.363927,0,revenge
233470,0.363776,0,prison
248774,0.360727,3123963,independent film
292177,0.360228,0,friendship
242166,0.359568,0,love triangle
156597,0.358186,0,musical
313074,0.35561,0,sword
275985,0.354648,0,nudity
286654,0.352393,0,adoption
238475,0.351449,0,robbery
284536,0.350612,39171130,gambling
257447,0.350213,0,sport
270005,0.346944,0,italian
254023,0.346216,0,lesbian
268060,0.343814,0,revenge
209185,0.34162,3430018,newfoundland
282041,0.340735,0,rise and fall
300706,0.340101,0,wife murder
265016,0.339749,0,cabin
289314,0.369555,0,woman director
254194,0.539598,0,desperation
261101,0.333035,0,biography
253295,0.33291,0,from rags to riches
82657,0.332041,0,supernatural
287415,0.331919,0,assassin
259954,0.330645,0,diplomat
94590,0.330541,0,angry video game nerd
199575,0.276845,0,australia
174337,0.460808,13769,woman director
236399,0.303538,0,sadistic
279171,0.323009,0,biography
270654,0.318941,15000000,war
206296,0.318608,0,wife
157099,0.317225,75143,pharmacist
157424,0.404018,0,suicide
211076,0.316313,0,texas
276401,0.315839,0,new york
241843,0.689942,0,elementary school
297680,0.309771,0,found footage
126172,0.309634,0,prequel
293894,0.512023,0,viking
212231,0.308899,0,based on magazine article
268171,0.306919,0,widower
289727,0.306026,4453524,professor
330115,0.12871,0,surfing
276496,0.302498,0,chess
290999,0.301497,0,zombies
249660,0.300442,29789000,christian
302828,0.299103,0,survival
305091,0.298899,0,experiment
281418,0.29364,0,look-alike
299969,0.293107,0,marvel comic
259910,0.291253,0,superhero
267806,0.290104,2756,mumblegore
242090,0.289951,0,weekend
289416,0.289238,0,exorcism
265010,0.289102,0,female nudity
257117,0.288035,0,black comedy
113833,0.286381,0,gay
243526,0.285328,0,cult
79316,0.283225,36433975,found footage
285387,0.280438,0,police
258284,0.280105,0,based on novel
284284,0.38421,0,rape
294093,0.279115,0,island
304336,0.278064,0,based on true story
276488,0.277049,0,scotland
319389,0.275803,0,romantic comedy
278774,0.272995,0,dance
282672,0.270806,0,dominatrix
306650,0.269528,0,afghanistan
305932,0.269274,0,high school
255491,0.269033,0,writer
252102,0.267446,0,woman director
209269,0.264523,0,australian
269650,0.264059,0,post-apocalyptic
114155,0.259735,0,art critic
259074,0.258304,0,sequel
304613,0.255838,0,australian
269100,0.252762,0,video game
282296,0.751476,4013786,paris
293262,0.431184,7205,biography
274820,0.374265,0,brother brother relationship
275619,0.634232,0,asteroid
244403,0.240398,0,father-son relationship
283589,0.239862,0,london
286548,0.237126,0,martial arts
289394,0.342044,0,magic
200511,0.23282,0,robbery
260001,0.231578,8265,sexuality
254193,0.229926,0,vietnam veteran
253251,0.228495,0,girlfriend
263855,0.226863,0,war veteran
270771,0.433273,0,post-apocalyptic
249170,0.223067,0,paleontology
225044,0.345226,28208,au pair
244260,0.221564,0,small town
209416,0.253943,0,musician
250658,0.220064,0,hacker
253292,0.219679,0,tour
262788,0.217873,0,inventor
267793,0.217415,0,woman director
284274,0.21533,0,marvel comic
265019,0.212841,0,woods
301959,0.210808,0,making of
258193,0.492782,0,north carolina
281298,0.205343,0,prison
264170,0.202776,0,dc comics
294741,0.201445,0,girls' boarding school
298093,0.222714,0,detective
298445,0.199012,0,santa claus
250574,0.197336,0,mountains
279914,0.376205,0,musician
261037,0.56672,0,sheriff
277702,0.196408,0,hostage
268321,0.193689,0,homelessness
266040,0.370212,0,woman director
256690,0.310285,0,adventure
286987,0.191091,0,high school
251321,0.19104,53086,new age
285423,0.189201,0,marine corps
281778,0.188264,0,survivor
271185,0.186933,0,college
277688,0.131462,0,supernatural
197696,0.186159,0,prostitute
262481,0.18545,0,magic
256766,0.184506,0,swordplay
251768,0.184395,0,cyborg
146229,0.182975,0,fight
259453,0.182618,0,special air service
266102,0.181227,0,dance
226140,0.18041,0,slasher
266084,0.180139,0,korean war
297265,0.179072,0,woman director
248212,0.177674,0,homosexuality
287524,0.177102,0,phobia
294959,0.175793,0,tourist
341747,0.175615,0,lesbian kiss
278632,0.240776,2710,nurse
206192,0.23759,0,toronto
258251,0.169396,0,sword fight
273641,0.168968,0,mtv
300467,0.167827,0,post traumatic stress  disorder
280922,0.167084,0,artist
